City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,ranchi,23.35,85.3333,301.21,54,40,2.57,IN,1697171665
204,bac lieu,9.285,105.7244,304.37,64,48,2.16,VN,1697171665
205,omaruru,-21.4333,15.9333,290.17,24,0,0.88,NA,1697171665
206,quellon,-43.1167,-73.6167,279.43,84,34,1.94,CL,1697171665
207,east london,-33.0153,27.9116,289.67,77,0,4.12,ZA,1697171666
208,dudinka,69.4058,86.1778,274.64,93,96,6.71,RU,1697171538
209,santo anastacio,-21.8383,-51.6103,296.35,83,91,2.94,BR,1697171666
210,cidreira,-30.1811,-50.2056,287.14,70,99,4.01,BR,1697171666
211,lugovoye,42.9094,72.7178,282.13,89,98,2.24,KZ,1697171666
212,uberaba,-19.7483,-47.9319,298.47,69,20,2.57,BR,1697171666
213,vorgashor,67.5833,63.95,273.56,64,100,6.41,RU,1697171666
214,kharp,66.8014,65.8081,272.23,97,100,4.36,RU,1697171666
215,guerrero negro,27.9769,-114.0611,291.38,76,0,4.11,MX,1697171666
216,bel ombre,-4.6167,55.4167,301.06,83,20,3.09,SC,1697171666
217,panjab,34.388,67.0233,285.58,39,1,3.6,AF,1697171452
218,igarka,67.4667,86.5833,274.68,87,98,2.91,RU,1697171666
219,medicine hat,50.0501,-110.6683,281.33,76,100,6.17,CA,1697171572
220,buka,40.8108,69.1986,283.67,46,90,3.05,UZ,1697171666
221,mayya,61.7333,130.2811,272.77,63,88,5.55,RU,1697171667
222,quepos,9.4236,-84.1652,299.38,83,97,1.26,CR,1697171667
223,arzgir,45.3728,44.2206,281.29,74,1,3.18,RU,1697171667
224,groningen,53.25,6.75,289.83,96,75,4.63,NL,1697171519
225,coronel suarez,-37.4547,-61.9334,278.46,49,0,2.0,AR,1697171667
226,micheweni,-4.9667,39.8333,299.54,75,88,1.64,TZ,1697171667
227,khonsa,27.0167,95.5667,295.9,82,3,1.67,IN,1697171667
228,hamilton,39.1834,-84.5333,290.31,71,0,1.54,US,1697171482
229,ust-nera,64.5667,143.2,261.05,95,97,2.24,RU,1697171667
230,pop,40.8736,71.1089,286.42,59,100,5.58,UZ,1697171667
231,labrador city,52.9463,-66.9114,278.1,100,100,1.54,CA,1697171667
232,ulsteinvik,62.3432,5.8487,283.22,76,100,3.13,NO,1697171667
233,yamada,39.4667,141.95,293.27,50,16,1.27,JP,1697171668
234,rio grande,-32.035,-52.0986,281.45,61,100,3.87,BR,1697171668
235,ta`u,-14.2336,-169.5144,300.06,79,29,7.55,AS,1697171668
236,hadibu,12.65,54.0333,300.54,78,63,2.72,YE,1697171668
237,gouyave,12.1646,-61.7296,300.58,89,20,5.14,GD,1697171668
238,flying fish cove,-10.4217,105.6791,300.97,74,100,5.66,CX,1697171668
239,olonkinbyen,70.9221,-8.7187,272.03,86,96,9.79,SJ,1697171668
240,lerwick,60.1545,-1.1494,283.15,68,98,10.45,GB,1697171668
241,nadi,-17.8,177.4167,302.15,61,75,3.09,FJ,1697171382
242,heroica guaymas,27.9333,-110.9,296.97,66,0,0.74,MX,1697171668
243,tavda,58.0425,65.2726,275.2,96,100,6.26,RU,1697171537
244,kodiak,57.79,-152.4072,276.88,70,100,4.12,US,1697171668
245,mariehamn,60.0973,19.9348,280.07,76,0,2.06,AX,1697171668
246,ola,59.5833,151.2833,274.9,40,3,2.49,RU,1697171668
247,zhanaozen,43.3,52.8,281.69,57,11,6.94,KZ,1697171669
248,thames,-37.1333,175.5333,290.32,66,93,3.32,NZ,1697171669
249,prince rupert,54.3161,-130.3201,287.98,67,40,10.29,CA,1697171669
250,lodeynoye pole,60.726,33.5531,278.59,77,100,7.05,RU,1697171669
251,podporozh'ye,60.9112,34.1706,277.78,79,100,6.44,RU,1697171669
252,tyup,42.7276,78.3648,290.7,32,100,1.97,KG,1697171669
253,sarupathar,26.1984,93.8094,302.43,65,1,0.57,IN,1697171669
254,tahe,52.3333,124.7333,291.49,30,30,5.0,CN,1697171669
255,christchurch,-43.5333,172.6333,292.26,39,100,8.75,NZ,1697171669
256,andergrove,-21.0833,149.1833,304.06,54,6,5.48,AU,1697171669
257,melfort,52.8667,-104.6177,280.22,70,63,1.03,CA,1697171669
258,rangpur,25.75,89.25,303.37,55,0,0.4,BD,1697171669
259,novodvinsk,64.4165,40.8122,277.47,94,99,2.69,RU,1697171669
260,brezina,33.0989,1.2608,289.84,41,2,2.85,DZ,1697171669
261,watsa,3.0372,29.5355,292.6,86,6,1.0,CD,1697171670
262,ponta delgada,37.7333,-25.6667,293.55,83,20,3.09,PT,1697171670
263,wuhai,39.6647,106.8122,291.37,27,1,5.47,CN,1697171670
264,kayangel,8.0823,134.7173,301.59,79,81,6.99,PW,1697171670
265,agat village,13.3886,144.6585,299.67,93,100,2.57,GU,1697171670
266,badger,64.8,-147.5333,273.08,75,100,2.57,US,1697171670
267,dolores,-36.3132,-57.6792,278.06,91,1,3.25,AR,1697171670
268,nova sintra,14.8667,-24.7167,296.84,78,100,0.19,CV,1697171670
269,lebu,-37.6167,-73.65,282.04,88,8,7.75,CL,1697171670
270,tezu,27.9167,96.1667,302.48,52,3,1.64,IN,1697171670
271,port alfred,-33.5906,26.891,289.36,81,2,4.02,ZA,1697171670
272,cold lake,54.4502,-110.2017,278.12,93,100,0.0,CA,1697171671
273,santa marta de ortigueira,43.6833,-7.85,294.48,66,100,7.54,ES,1697171671
274,sobinka,55.9855,40.0111,283.74,77,69,6.45,RU,1697171671
275,inarajan village,13.2736,144.7484,299.69,94,100,7.58,GU,1697171671
276,labytnangi,66.6572,66.4183,272.47,96,100,5.39,RU,1697171671
277,douar tindja,37.1667,9.75,288.21,82,0,1.03,TN,1697171671
278,colonia,50.9333,6.95,291.9,90,0,4.63,DE,1697171671
279,mount isa,-20.7333,139.5,307.02,15,65,6.17,AU,1697171432
280,yung shue wan,22.2333,114.1167,302.22,61,64,0.89,HK,1697171671
281,konarka,19.9,86.1167,304.37,59,8,0.63,IN,1697171671
282,airuk,7.2772,168.8203,302.11,70,33,1.69,MH,1697171671
283,santiago de cao,-7.9589,-79.2392,291.22,88,49,4.12,PE,1697171671
284,zhaotong,27.3167,103.7167,282.73,91,100,2.03,CN,1697171671
285,al khafji,28.4391,48.4913,303.96,42,0,2.5,SA,1697171672
286,n'dalatando,-9.2978,14.9116,292.87,91,99,0.44,AO,1697171672
287,south hedland,-20.4089,118.5983,315.11,5,3,8.23,AU,1697171672
288,lompoc,34.6391,-120.4579,288.38,93,0,3.09,US,1697171672
289,bonthe,7.5264,-12.505,298.25,88,100,2.11,SL,1697171672
290,harper,4.375,-7.7169,297.93,89,72,2.3,LR,1697171672
291,sungai raya,0.7,108.9,304.76,60,81,3.88,ID,1697171672
292,guane,22.2025,-84.0875,300.48,86,94,3.26,CU,1697171672
293,port macquarie,-31.4333,152.9167,295.87,48,0,6.17,AU,1697171672
294,northam,51.0333,-4.2167,291.7,98,100,12.17,GB,1697171672
295,port-cartier,50.0334,-66.8654,282.27,92,100,2.57,CA,1697171672
296,mata-utu,-13.2816,-176.1745,300.75,82,37,7.59,WF,1697171672
297,gbadolite,4.2833,21.0167,295.28,96,100,1.21,CD,1697171672
298,khandyga,62.6667,135.6,272.8,92,99,2.47,RU,1697171672
299,myeik,12.4333,98.6,302.55,73,100,1.24,MM,1697171673
300,dalgopol,43.05,27.35,281.36,76,4,0.96,BG,1697171673
301,sao raimundo das mangabeiras,-7.0219,-45.4811,297.37,61,3,0.96,BR,1697171673
302,champerico,14.3,-91.9167,300.77,81,100,3.06,GT,1697171673
303,saudarkrokur,65.7461,-19.6394,273.36,89,97,10.28,IS,1697171673
304,eilat,29.5581,34.9482,295.06,64,0,3.6,IL,1697171673
305,torghay,49.6339,63.4981,282.22,44,6,6.32,KZ,1697171673
306,balqash,46.8481,74.995,283.48,93,40,6.0,KZ,1697171673
307,nova vicosa,-17.8919,-39.3719,296.52,86,11,5.89,BR,1697171673
308,greenville,35.6127,-77.3663,285.44,97,100,0.0,US,1697171673
309,san patricio,28.017,-97.5169,300.07,91,0,3.39,US,1697171673
310,mananjary,-21.2167,48.3333,298.4,74,42,2.31,MG,1697171673
311,la passe,45.5549,-0.8967,291.28,50,15,5.8,FR,1697171673
312,chui,-33.6971,-53.4616,279.19,82,3,2.59,UY,1697171673
313,bonanza,14.0289,-84.591,296.99,99,22,1.08,NI,1697171674
314,pitanga,-24.7572,-51.7614,288.45,97,93,2.74,BR,1697171674
315,yenangyaung,20.4667,94.8833,302.56,69,53,4.24,MM,1697171674
316,kwekwe,-18.9281,29.8149,296.72,33,24,3.44,ZW,1697171674
317,saint-joseph,-21.3667,55.6167,298.41,80,75,3.67,RE,1697171674
318,tindouf,27.6711,-8.1474,292.4,30,0,2.57,DZ,1697171674
319,nicoya,10.1483,-85.452,297.49,92,50,1.12,CR,1697171674
320,saint-felicien,48.6501,-72.4491,281.53,100,100,4.12,CA,1697171674
321,duncan,34.5023,-97.9578,296.09,83,0,6.69,US,1697171674
322,kamina,-8.7386,24.9906,294.7,74,83,0.65,CD,1697171674
323,gunjur,13.2019,-16.7339,299.19,100,40,0.0,GM,1697171674
324,kapuskasing,49.4169,-82.4331,280.2,93,75,2.06,CA,1697171674
325,daru,-9.0763,143.2092,298.9,85,100,6.31,PG,1697171674
326,sinabang,2.4803,96.3801,301.12,76,95,2.37,ID,1697171674
327,placido de castro,-10.3353,-67.1856,297.58,81,100,1.0,BR,1697171675
328,vadso,70.0744,29.7487,275.64,77,100,4.94,NO,1697171675
329,itoman,26.1247,127.6694,301.58,62,20,8.23,JP,1697171675
330,happy valley-goose bay,53.3168,-60.3315,282.32,93,100,5.66,CA,1697171411
331,oamaru,-45.0784,170.9801,290.53,58,100,4.8,NZ,1697171675
332,aflou,34.1128,2.1023,286.2,47,0,2.03,DZ,1697171675
333,smithers,54.7804,-127.1743,278.33,100,0,0.0,CA,1697171411
334,ugoofaaru,5.6667,73.0,300.69,79,28,4.76,MV,1697171675
335,korla,41.7597,86.1469,293.97,26,0,2.56,CN,1697171675
336,manhattan,40.7834,-73.9662,289.93,67,0,4.02,US,1697171331
337,oudtshoorn,-33.5907,22.2014,285.35,82,48,0.65,ZA,1697171675
338,la ronge,55.1001,-105.2842,280.29,93,100,0.0,CA,1697171675
339,lewistown,40.5992,-77.5714,285.02,96,0,0.0,US,1697171673
340,cabo san lucas,22.8909,-109.9124,299.68,72,0,1.79,MX,1697171675
341,kendari,-3.945,122.4989,304.62,52,50,4.41,ID,1697171675
342,kotkapura,30.5819,74.833,306.6,16,0,3.08,IN,1697171676
343,huanggang,23.677,116.9996,301.09,66,22,1.25,CN,1697171676
344,juneau,58.3019,-134.4197,284.15,93,75,9.77,US,1697171465
345,lodja,-3.4833,23.4333,294.4,90,97,0.88,CD,1697171676
346,jamaame,0.0697,42.745,301.47,68,27,3.69,SO,1697171676
347,puerto deseado,-47.7503,-65.8938,281.29,64,3,1.99,AR,1697171676
348,severo-yeniseyskiy,60.3725,93.0408,276.8,91,100,6.26,RU,1697171676
349,shizuishan,39.2333,106.7694,291.44,23,2,0.71,CN,1697171676
350,saquarema,-22.92,-42.5103,295.79,97,100,3.51,BR,1697171534
351,hun,29.1268,15.9477,292.03,72,0,1.92,LY,1697171676
352,salahonda,2.1019,-78.7217,299.06,83,42,1.99,CO,1697171676
353,arteche,12.2645,125.4048,302.25,77,42,2.1,PH,1697171676
354,tune,46.7512,7.6217,287.99,74,94,5.36,CH,1697171676
355,bitkine,11.9801,18.2138,299.76,57,50,0.81,TD,1697171677
356,tutong,4.8,114.65,304.2,70,67,2.89,BN,1697171677
357,brookings,44.3114,-96.7984,280.47,96,100,13.38,US,1697171677
358,kiunga,-6.1219,141.2906,306.87,51,84,1.72,PG,1697171677
359,gokwe,-18.2048,28.9349,298.18,31,58,1.88,ZW,1697171677
360,tha khanon,9.0302,98.9529,306.05,60,80,0.85,TH,1697171677
361,aykhal,66.0,111.5,268.74,78,95,4.92,RU,1697171677
362,markovo,57.3206,107.0881,278.82,81,100,1.23,RU,1697171677
363,aars,56.804,9.5144,282.47,91,78,4.65,DK,1697171677
